cuisine,diet,name,cooking time,ingredients,allergens,recipe
Caribbean,Vegan,Hearty Mushroom Pasta ,1 hr 9 min,"Mushroom, Onion, Tomato, Chili, Nuts, Cumin",Nuts,"Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Moroccan,Vegan,Light Eggplant Salad ,37 min,"Eggplant, Coriander, Salt, Tomato",Eggs,"Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Japanese,Vegetarian,Lemony Tomato Stew ,34 min,"Tomato, Honey, Milk, Black pepper, Soy sauce, Sugar","Milk, Soy, Honey","Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Chinese,Vegetarian,Light Quinoa Pizza ,1 hr 58 min,"Quinoa, Yogurt, Black pepper, Garlic, Soy sauce, Nuts, Lemon","Milk, Soy, Nuts","Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Indian,Non-Vegetarian,Simple Turkey Risotto ,37 min,"Turkey, Garlic, Nuts, Cumin, Yogurt, Flour, Chili","Milk, Nuts, Gluten","Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a risotto."
Spanish,Non-Vegetarian,Creamy Pork Curry ,23 min,"Pork, Chili, Tomato, Salt, Butter",Milk,"Step 1: Marinate the Pork with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Pork until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a curry."
Caribbean,Non-Vegetarian,Smoky Chicken Pasta ,1 hr 58 min,"Chicken, Nuts, Garlic, Cumin, Yogurt","Milk, Nuts","Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and pan-fry the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pasta."
Mediterranean,Vegan,Herbed Black beans Frittata ,1 hr 40 min,"Black beans, Nuts, Paprika",Nuts,"Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Thai,Vegetarian,Zesty Cauliflower Burger ,1 hr 8 min,"Cauliflower, Butter, Cheese, Milk, Lemon, Coriander, Soy sauce, Salt","Milk, Soy","Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Greek,Vegetarian,Simple Lentils Wrap ,1 hr 30 min,"Lentils, Milk, Salt, Garlic, Honey, Paprika","Milk, Honey","Step 1: Chop the vegetables and prepare the Lentils. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Lentils and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Caribbean,Non-Vegetarian,Savory Fish Fritters ,24 min,"Fish, Cumin, Chili, Black pepper, Yogurt, Sugar, Onion","Milk, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a fritters."
Korean,Vegan,Tangy Corn Pizza ,1 hr 53 min,"Corn, Tomato, Black pepper, Nuts, Herbs",Nuts,"Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Vietnamese,Non-Vegetarian,Peanut Shrimp Curry ,1 hr 59 min,"Shrimp, Garlic, Cumin, Salt, Coriander",Seafood,"Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and grill the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a curry."
Chinese,Non-Vegetarian,Garlic Lamb Sandwich ,1 hr 2 min,"Lamb, Sugar, Paprika, Milk, Salt",Milk,"Step 1: Marinate the Lamb with salt, pepper, and spices. Step 2: Heat oil in a pan and blanch the Lamb until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a sandwich."
Chinese,Non-Vegetarian,Herbed Turkey Pasta ,43 min,"Turkey, Sugar, Lemon, Onion, Paprika",,"Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pasta."
Indian,Non-Vegetarian,Tangy Turkey Sandwich ,13 min,"Turkey, Black pepper, Olive oil, Tomato, Onion, Sugar",,"Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and pan-fry the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a sandwich."
Spanish,Non-Vegetarian,Smoky Tuna Stew ,1 hr 57 min,"Tuna, Cheese, Nuts, Lemon","Milk, Nuts, Seafood","Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stew."
Spanish,Vegetarian,Smoky Paneer Burger ,1 hr 28 min,"Paneer, Onion, Cheese, Nuts","Milk, Nuts","Step 1: Chop the vegetables and prepare the Paneer. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Paneer and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Spanish,Non-Vegetarian,Tangy Fish Stew ,46 min,"Fish, Yogurt, Ginger, Lemon, Salt, Vinegar, Soy sauce","Milk, Soy, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and grill the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stew."
Mexican,Vegetarian,Minty Bell pepper Fritters ,1 hr 25 min,"Bell pepper, Cheese, Herbs, Chili, Nuts, Black pepper, Yogurt","Milk, Nuts","Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Greek,Vegan,Smoky Corn Rice Bowl ,1 hr 12 min,"Corn, Nuts, Sugar, Cumin, Black pepper",Nuts,"Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Thai,Non-Vegetarian,Simple Fish Wrap ,1 hr 44 min,"Fish, Olive oil, Tomato, Vinegar, Black pepper, Milk, Paprika","Milk, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a wrap."
Greek,Vegetarian,Quick Lentils Pizza ,17 min,"Lentils, Vinegar, Milk, Coriander, Cumin, Butter, Tomato, Paprika",Milk,"Step 1: Chop the vegetables and prepare the Lentils. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Lentils and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Ethiopian,Vegan,Savory Zucchini Kebab ,15 min,"Zucchini, Herbs, Chili, Tomato, Black pepper",,"Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Indian,Non-Vegetarian,Tangy Turkey Fritters ,1 hr 22 min,"Turkey, Ginger, Paprika, Lemon, Nuts, Chili",Nuts,"Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and saute the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a fritters."
Peruvian,Vegan,Hearty Eggplant Wrap ,55 min,"Eggplant, Soy sauce, Cumin, Sugar","Soy, Eggs","Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Lebanese,Vegan,Savory Eggplant Pizza ,16 min,"Eggplant, Black pepper, Coriander",Eggs,"Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Ethiopian,Vegetarian,Lemony Kidney beans Wrap ,1 hr 40 min,"Kidney beans, Garlic, Paprika, Flour",Gluten,"Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Mediterranean,Vegetarian,Honey Pumpkin Risotto ,54 min,"Pumpkin, Ginger, Cumin, Chili, Herbs, Butter",Milk,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Indian,Non-Vegetarian,Garlic Shrimp Salad ,49 min,"Shrimp, Ginger, Garlic, Nuts, Vinegar, Onion, Black pepper","Nuts, Seafood","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and saute the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a salad."
Italian,Vegetarian,Light Corn Stir-fry ,1 hr 2 min,"Corn, Yogurt, Onion, Salt, Black pepper, Nuts, Herbs, Sugar","Milk, Nuts","Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
Lebanese,Vegetarian,Light Pumpkin Pizza ,15 min,"Pumpkin, Yogurt, Onion, Cheese, Lemon, Salt, Chili, Olive oil",Milk,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
French,Vegetarian,Herbed Paneer Kebab ,16 min,"Paneer, Cheese, Salt, Cumin, Soy sauce","Milk, Soy","Step 1: Chop the vegetables and prepare the Paneer. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Paneer and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Moroccan,Non-Vegetarian,Warm Turkey Kebab ,1 hr 45 min,"Turkey, Tomato, Salt, Cheese, Butter, Flour, Herbs","Milk, Gluten","Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a kebab."
Thai,Non-Vegetarian,Hearty Chicken Risotto ,18 min,"Chicken, Butter, Nuts, Flour, Cumin","Milk, Nuts, Gluten","Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a risotto."
Italian,Vegetarian,Peanut Tomato Frittata ,1 hr 41 min,"Tomato, Salt, Garlic, Paprika, Milk",Milk,"Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
French,Non-Vegetarian,Easy Lamb Salad ,1 hr 44 min,"Lamb, Olive oil, Soy sauce, Garlic, Paprika, Vinegar",Soy,"Step 1: Marinate the Lamb with salt, pepper, and spices. Step 2: Heat oil in a pan and simmer the Lamb until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a salad."
Caribbean,Non-Vegetarian,Hearty Pork Pasta ,22 min,"Pork, Garlic, Cumin, Honey",Honey,"Step 1: Marinate the Pork with salt, pepper, and spices. Step 2: Heat oil in a pan and roast the Pork until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pasta."
Vietnamese,Vegan,Tangy Broccoli Stir-fry ,45 min,"Broccoli, Vinegar, Lemon, Olive oil",,"Step 1: Chop the vegetables and prepare the Broccoli. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Broccoli and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
American,Vegan,Honey Bell pepper Wrap ,1 hr 17 min,"Bell pepper, Nuts, Olive oil, Ginger",Nuts,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Moroccan,Vegan,Tangy Mushroom Burger ,1 hr 30 min,"Mushroom, Flour, Tomato",Gluten,"Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Vietnamese,Non-Vegetarian,Honey Salmon Soup ,1 hr 10 min,"Salmon, Olive oil, Vinegar, Ginger, Black pepper",Seafood,"Step 1: Marinate the Salmon with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Salmon until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a soup."
Korean,Vegetarian,Zesty Black beans Fritters ,1 hr 27 min,"Black beans, Cumin, Yogurt, Black pepper, Cheese, Garlic, Butter",Milk,"Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Spanish,Vegetarian,Spicy Corn Pizza ,1 hr 23 min,"Corn, Nuts, Black pepper, Garlic, Sugar",Nuts,"Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
French,Vegan,Smoky Pumpkin Wrap ,26 min,"Pumpkin, Cumin, Herbs, Tomato, Black pepper, Salt",,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Lebanese,Vegetarian,Honey Quinoa Risotto ,1 hr 13 min,"Quinoa, Lemon, Honey, Herbs, Black pepper, Sugar, Yogurt","Milk, Honey","Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Korean,Vegetarian,Savory Spinach Pasta ,1 hr 55 min,"Spinach, Paprika, Vinegar, Herbs, Coriander, Olive oil, Cheese",Milk,"Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Caribbean,Vegetarian,Honey Pumpkin Salad ,52 min,"Pumpkin, Garlic, Salt, Lemon, Nuts, Yogurt, Black pepper","Milk, Nuts","Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Lebanese,Vegetarian,Simple Broccoli Risotto ,27 min,"Broccoli, Black pepper, Coriander, Tomato",,"Step 1: Chop the vegetables and prepare the Broccoli. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Broccoli and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Caribbean,Non-Vegetarian,Savory Salmon Wrap ,40 min,"Salmon, Lemon, Cumin, Cheese, Garlic","Milk, Seafood","Step 1: Marinate the Salmon with salt, pepper, and spices. Step 2: Heat oil in a pan and roast the Salmon until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a wrap."
Turkish,Vegetarian,Savory Black beans Pizza ,29 min,"Black beans, Lemon, Nuts, Paprika, Soy sauce","Soy, Nuts","Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Peruvian,Vegetarian,Savory Spinach Tacos ,31 min,"Spinach, Yogurt, Onion, Ginger, Nuts","Milk, Nuts","Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Japanese,Vegetarian,Garlic Zucchini Burger ,52 min,"Zucchini, Yogurt, Tomato, Cumin, Soy sauce","Milk, Soy","Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Moroccan,Vegetarian,Spicy Paneer Stir-fry ,1 hr 3 min,"Paneer, Salt, Cheese, Sugar, Yogurt, Tomato",Milk,"Step 1: Chop the vegetables and prepare the Paneer. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Paneer and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
Thai,Non-Vegetarian,Quick Beef Curry ,46 min,"Beef, Soy sauce, Nuts, Salt, Yogurt, Sugar, Chili","Milk, Soy, Nuts","Step 1: Marinate the Beef with salt, pepper, and spices. Step 2: Heat oil in a pan and roast the Beef until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a curry."
Ethiopian,Vegetarian,Creamy Black beans Frittata ,1 hr 53 min,"Black beans, Onion, Honey, Salt",Honey,"Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Indian,Vegan,Crispy Rice Salad ,2 hr,"Rice, Herbs, Flour, Olive oil",Gluten,"Step 1: Chop the vegetables and prepare the Rice. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Rice and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Spanish,Vegetarian,Hearty Lentils Pasta ,1 hr,"Lentils, Tomato, Chili, Milk",Milk,"Step 1: Chop the vegetables and prepare the Lentils. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Lentils and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Mediterranean,Vegetarian,Coconut Potato Skewers ,59 min,"Potato, Black pepper, Olive oil, Soy sauce, Honey, Cheese, Tomato","Milk, Soy, Honey","Step 1: Chop the vegetables and prepare the Potato. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Peruvian,Vegetarian,Peanut Kidney beans Stew ,20 min,"Kidney beans, Soy sauce, Lemon, Milk, Paprika, Black pepper, Nuts","Milk, Soy, Nuts","Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Greek,Non-Vegetarian,Quick Pork Frittata ,1 hr 32 min,"Pork, Milk, Salt, Lemon, Onion, Nuts, Yogurt","Milk, Nuts","Step 1: Marinate the Pork with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Pork until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a frittata."
Brazilian,Non-Vegetarian,Smoky Chicken Frittata ,1 hr 9 min,"Chicken, Olive oil, Soy sauce, Garlic, Honey","Soy, Honey","Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a frittata."
Thai,Vegetarian,Minty Corn Frittata ,1 hr 1 min,"Corn, Soy sauce, Flour, Onion, Black pepper","Soy, Gluten","Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Spanish,Vegetarian,Simple Eggplant Pasta ,21 min,"Eggplant, Honey, Yogurt, Paprika, Olive oil, Nuts, Lemon","Milk, Nuts, Eggs, Honey","Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
American,Non-Vegetarian,Smoky Turkey Wrap ,28 min,"Turkey, Honey, Black pepper, Cheese, Garlic, Ginger, Herbs, Soy sauce","Milk, Soy, Honey","Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and pan-fry the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a wrap."
French,Vegetarian,Easy Chickpeas Kebab ,1 hr 1 min,"Chickpeas, Milk, Black pepper, Paprika, Herbs, Ginger, Nuts, Yogurt","Milk, Nuts","Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Moroccan,Vegetarian,Smoky Bell pepper Curry ,1 hr 49 min,"Bell pepper, Garlic, Sugar, Salt, Olive oil, Black pepper, Cumin, Lemon",,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Vietnamese,Vegetarian,Honey Chickpeas Kebab ,39 min,"Chickpeas, Coriander, Black pepper, Paprika, Salt, Onion, Garlic",,"Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
American,Vegetarian,Warm Corn Pasta ,1 hr 21 min,"Corn, Coriander, Butter, Honey, Tomato, Paprika, Milk","Milk, Honey","Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Caribbean,Vegetarian,Coconut Pumpkin Casserole ,1 hr 22 min,"Pumpkin, Onion, Lemon, Butter, Salt",Milk,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a casserole."
Peruvian,Vegan,Peanut Cauliflower Wrap ,40 min,"Cauliflower, Tomato, Soy sauce, Coriander, Paprika, Black pepper",Soy,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Turkish,Non-Vegetarian,Smoky Chicken Stir-fry ,1 hr 54 min,"Chicken, Ginger, Yogurt, Onion, Black pepper",Milk,"Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stir-fry."
Turkish,Vegan,Crispy Tofu Pizza ,1 hr 47 min,"Tofu, Tomato, Soy sauce, Garlic, Coriander, Olive oil",Soy,"Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Lebanese,Non-Vegetarian,Smoky Tuna Risotto ,38 min,"Tuna, Nuts, Cumin, Herbs, Yogurt, Honey, Milk, Olive oil","Milk, Nuts, Seafood, Honey","Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a risotto."
Japanese,Vegetarian,Quick Tomato Tacos ,23 min,"Tomato, Cumin, Nuts, Milk, Yogurt, Salt, Coriander, Vinegar","Milk, Nuts","Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Mediterranean,Vegetarian,Coconut Quinoa Pilaf ,28 min,"Quinoa, Soy sauce, Sugar, Herbs, Coriander",Soy,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
